postal_code,city
783384,abhayapuri
623601,abiramam
152117,abohar
152118,abohar
152116,abohar
152132,abohar
307510,abu road
307526,abu road
307026,abu road
192201,achabal
534123,achanta
603301,acharapakkam
603386,acharapakkam
603397,acharapakkam
382484,adalaj
382401,adalaj
382412,adalaj
523201,addanki
246188,adheriya khal
246468,adibadri
504323,adilabad
504217,adilabad
504000,adilabad
504306,adilabad
504001,adilabad
504307,adilabad
504301,adilabad
504340,adilabad
504304,adilabad
504110,adilabad
504209,adilabad
504295,adilabad
504102,adilabad
504202,adilabad
504312,adilabad
504311,adilabad
504345,adilabad
504344,adilabad
504105,adilabad
504299,adilabad
504292,adilabad
504201,adilabad
504309,adilabad
504308,adilabad
504101,adilabad
504232,adilabad
504343,adilabad
504273,adilabad
504002,adilabad
504325,adilabad
504319,adilabad
504305,adilabad
504313,adilabad
504322,adilabad
504003,adilabad
504324,adilabad
504330,adilabad
504321,adilabad
504346,adilabad
504109,adilabad
504310,adilabad
504327,adilabad
504207,adilabad
504318,adilabad
504342,adilabad
370205,adipur
614701,adirampattinam
831035,adityapur
831000,adityapur
505110,adivarampet
505188,adivarampet
518302,adoni
518301,adoni
691551,adoor
691523,adoor
690504,adoor
723121,adra
575069,adyar
575031,adyar
246722,afzalgarh
246768,afzalgarh
246725,afzalgarh
246746,afzalgarh
587202,afzalpur
586131,afzalpur
577170,afzalpur
585301,afzalpur
585246,afzalpur
585242,afzalpur
585332,afzalpur
585217,afzalpur
516421,agadur
465441,agar malwa
799203,agartala
799210,agartala
799213,agartala
799264,agartala
799131,agartala
799214,agartala
799008,agartala
799004,agartala
799130,agartala
799202,agartala
799003,agartala
799132,agartala
799212,agartala
799270,agartala
799103,agartala
799285,agartala
799022,agartala
799006,agartala
799046,agartala
799106,agartala
799107,agartala
799001,agartala
799014,agartala
799005,agartala
799102,agartala
799211,agartala
799009,agartala
799206,agartala
799205,agartala
799002,agartala
799007,agartala
799201,agartala
799256,agartala
799045,agartala
799035,agartala
799109,agartala
799010,agartala
799011,agartala
799115,agartala
799055,agartala
501143,agnoor
501147,agnoor
501114,agnoor
501151,agnoor
501157,agnoor
501150,agnoor
501113,agnoor
501154,agnoor
501105,agnoor
501112,agnoor
501122,agnoor
501104,agnoor
501149,agnoor
501146,agnoor
501153,agnoor
501141,agnoor
283113,agra
282021,agra
283202,agra
282009,agra
282005,agra
228010,agra
283122,agra
283101,agra
283124,agra
283201,agra
283115,agra
283102,agra
282007,agra
283126,agra
283105,agra
283119,agra
282004,agra
282010,agra
282001,agra
283125,agra
283121,agra
282006,agra
282002,agra
282008,agra
228006,agra
283112,agra
282003,agra
282056,agra
246421,agustmuni
845513,ahirawan
414605,ahmed nagar
414304,ahmed nagar
414111,ahmed nagar
414301,ahmed nagar
422617,ahmed nagar
414612,ahmed nagar
414606,ahmed nagar
414303,ahmed nagar
414602,ahmed nagar
413720,ahmed nagar
414037,ahmed nagar
414302,ahmed nagar
413901,ahmed nagar
414108,ahmed nagar
414601,ahmed nagar
423103,ahmed nagar
414410,ahmed nagar
414501,ahmed nagar
414609,ahmed nagar
413739,ahmed nagar
414701,ahmed nagar
414405,ahmed nagar
423602,ahmed nagar
413737,ahmed nagar
414101,ahmed nagar
413728,ahmed nagar
413723,ahmed nagar
413703,ahmed nagar
413715,ahmed nagar
414006,ahmed nagar
414404,ahmed nagar
414007,ahmed nagar
413721,ahmed nagar
423605,ahmed nagar
422610,ahmed nagar
413711,ahmed nagar
414306,ahmed nagar
413724,ahmed nagar
414604,ahmed nagar
414702,ahmed nagar
414105,ahmed nagar
414103,ahmed nagar
414014,ahmed nagar
414201,ahmed nagar
414001,ahmed nagar
413718,ahmed nagar
413712,ahmed nagar
422607,ahmed nagar
413710,ahmed nagar
414038,ahmed nagar
414603,ahmed nagar
413707,ahmed nagar
414004,ahmed nagar
413717,ahmed nagar
413702,ahmed nagar
423603,ahmed nagar
414305,ahmed nagar
414002,ahmed nagar
414110,ahmed nagar
422615,ahmed nagar
423604,ahmed nagar
414030,ahmed nagar
423607,ahmed nagar
414000,ahmed nagar
414008,ahmed nagar
413726,ahmed nagar
414003,ahmed nagar
413719,ahmed nagar
422619,ahmed nagar
414607,ahmed nagar
413722,ahmed nagar
413732,ahmed nagar
413708,ahmed nagar
413725,ahmed nagar
414005,ahmed nagar
380029,ahmedabad
382166,ahmedabad
380025,ahmedabad
380064,ahmedabad
380015,ahmedabad
380023,ahmedabad
380050,ahmedabad
380027,ahmedabad
382475,ahmedabad
380071,ahmedabad
382425,ahmedabad
380049,ahmedabad
380009,ahmedabad
382450,ahmedabad
382424,ahmedabad
382155,ahmedabad
380024,ahmedabad
382463,ahmedabad
380042,ahmedabad
363610,ahmedabad
380002,ahmedabad
382210,ahmedabad
382327,ahmedabad
382170,ahmedabad
388020,ahmedabad
382140,ahmedabad
380316,ahmedabad
380065,ahmedabad
382250,ahmedabad
382415,ahmedabad
382426,ahmedabad
382230,ahmedabad
380078,ahmedabad
380026,ahmedabad
380036,ahmedabad
382240,ahmedabad
382120,ahmedabad
382418,ahmedabad
382449,ahmedabad
380059,ahmedabad
380452,ahmedabad
382340,ahmedabad
382470,ahmedabad
380016,ahmedabad
383207,ahmedabad
382308,ahmedabad
382310,ahmedabad
382427,ahmedabad
380215,ahmedabad
382352,ahmedabad
380022,ahmedabad
300054,ahmedabad
380054,ahmedabad
382445,ahmedabad
380152,ahmedabad
382350,ahmedabad
380018,ahmedabad
382410,ahmedabad
380123,ahmedabad
382145,ahmedabad
380056,ahmedabad
380041,ahmedabad
382405,ahmedabad
380003,ahmedabad
380055,ahmedabad
380069,ahmedabad
380045,ahmedabad
386006,ahmedabad
382324,ahmedabad
381156,ahmedabad
380066,ahmedabad
380151,ahmedabad
382330,ahmedabad
380087,ahmedabad
380006,ahmedabad
382115,ahmedabad
382276,ahmedabad
380011,ahmedabad
388888,ahmedabad
382360,ahmedabad
382316,ahmedabad
382455,ahmedabad
380000,ahmedabad
382270,ahmedabad
382260,ahmedabad
380005,ahmedabad
380052,ahmedabad
383480,ahmedabad
382346,ahmedabad
380019,ahmedabad
382165,ahmedabad
382345,ahmedabad
380013,ahmedabad
382420,ahmedabad
382211,ahmedabad
382130,ahmedabad
382213,ahmedabad
382442,ahmedabad
382443,ahmedabad
380053,ahmedabad
380202,ahmedabad
382465,ahmedabad
380012,ahmedabad
382451,ahmedabad
380058,ahmedabad
382440,ahmedabad
380081,ahmedabad
382481,ahmedabad
382160,ahmedabad
380010,ahmedabad
380017,ahmedabad
382433,ahmedabad
380014,ahmedabad
380079,ahmedabad
380007,ahmedabad
382255,ahmedabad
382305,ahmedabad
382430,ahmedabad
382325,ahmedabad
382000,ahmedabad
380061,ahmedabad
380028,ahmedabad
380030,ahmedabad
380062,ahmedabad
380051,ahmedabad
380060,ahmedabad
380063,ahmedabad
380008,ahmedabad
380021,ahmedabad
380004,ahmedabad
380001,ahmedabad
148021,ahmedgarh
231301,ahraura
732121,aiho
247771,ailum
247767,ailum
247766,ailum
501537,ainapur
501522,ainapur
501501,ainapur
501507,ainapur
501535,ainapur
796009,aizawl
796471,aizawl
796008,aizawl
796161,aizawl
796001,aizawl
796004,aizawl
796025,aizawl
796005,aizawl
796010,aizawl
796190,aizawl
796070,aizawl
796441,aizawl
796370,aizawl
796007,aizawl
796017,aizawl
796181,aizawl
796012,aizawl
796006,aizawl
796014,aizawl
796186,aizawl
796015,aizwal
796321,aizwal
796230,aizwal
796075,aizwal
796081,aizwal
488220,ajaigarh
532552,ajjada
305812,ajmer
305630,ajmer
305926,ajmer
305405,ajmer
305416,ajmer
305202,ajmer
305203,ajmer
305600,ajmer
305912,ajmer
305007,ajmer
305816,ajmer
305005,ajmer
305014,ajmer
305408,ajmer
305204,ajmer
305025,ajmer
305004,ajmer
305017,ajmer
305003,ajmer
305624,ajmer
305811,ajmer
305207,ajmer
305008,ajmer
305201,ajmer
305928,ajmer
305628,ajmer
305206,ajmer
305922,ajmer
305924,ajmer
305813,ajmer
305023,ajmer
305402,ajmer
305012,ajmer
305024,ajmer
305415,ajmer
305629,ajmer
305001,ajmer
305622,ajmer
