postal_code,district,district_grp,state,zone,metro,tier,city
110001,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110002,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110003,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110004,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110005,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110006,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110007,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110008,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110009,north west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110010,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110011,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110012,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110013,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110014,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110015,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110016,south delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110017,south delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110018,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110019,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110020,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110021,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110022,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110023,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110024,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110025,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110026,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110027,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110028,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110029,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110030,south delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110031,east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110032,shahdara,delhi ncr,delhi,north,yes,tier1,new delhi
110033,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110034,north west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110035,north delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110036,north delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110037,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110038,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110039,north delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110040,north delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110041,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110042,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110043,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110044,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110045,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110046,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110047,south delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110048,south delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110049,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110050,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110051,east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110052,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110053,north east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110054,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110055,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110056,north west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110057,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110058,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110059,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110060,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110061,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110062,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110063,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110064,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110065,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110066,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110067,south delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110068,south delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110069,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110070,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110071,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110072,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110073,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110074,south delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110075,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110076,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110077,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110078,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110080,south east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110081,north west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110082,north delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110083,north west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110084,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110085,north west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110086,north west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110087,west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110088,central delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110089,north west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110090,north east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110091,east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110092,east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110093,shahdara,delhi ncr,delhi,north,yes,tier1,new delhi
110094,north east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110095,shahdara,delhi ncr,delhi,north,yes,tier1,new delhi
110096,east delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110097,south west delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110098,new delhi,delhi ncr,delhi,north,yes,tier1,new delhi
110100,central delhi,delhi ncr,delhi,north,yes,tier1,central delhi
121001,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121002,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121003,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121004,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121005,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121006,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121007,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121008,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121009,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121010,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121012,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121013,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121014,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121015,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121101,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121102,faridabad,delhi ncr,haryana,north,yes,tier1,palwal
121103,faridabad,delhi ncr,haryana,north,yes,tier1,hathin
121105,faridabad,delhi ncr,haryana,north,yes,tier1,faridabad
121106,faridabad,delhi ncr,haryana,north,yes,tier1,hodal
121107,faridabad,delhi ncr,haryana,north,yes,tier1,hassanpur
122001,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122002,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122003,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122004,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122005,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122006,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122007,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122008,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122009,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122010,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122011,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122012,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122015,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122016,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122017,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122018,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122021,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122022,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122029,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122050,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122051,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122052,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122098,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122101,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122102,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122103,gurgaon,delhi ncr,haryana,north,yes,tier1,sohna
122104,gurgaon,delhi ncr,haryana,north,yes,tier1,ferozepur jhirka
122105,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122107,gurgaon,delhi ncr,haryana,north,yes,tier1,nuh
122108,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122413,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122414,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122502,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122503,gurgaon,delhi ncr,haryana,north,yes,tier1,pataudi
122504,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122505,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122506,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
122508,gurgaon,delhi ncr,haryana,north,yes,tier1,gurgaon
123001,mahendragarh,mahendragarh,haryana,north,no,tier3,narnaul
123021,mahendragarh,mahendragarh,haryana,north,no,tier3,narnaul
123023,mahendragarh,mahendragarh,haryana,north,no,tier3,narnaul
123024,mahendragarh,mahendragarh,haryana,north,no,tier3,bhiwani
123027,mahendragarh,mahendragarh,haryana,north,no,tier3,kanina
123028,mahendragarh,mahendragarh,haryana,north,no,tier3,narnaul
123029,mahendragarh,mahendragarh,haryana,north,no,tier3,mahendragarh
123031,mahendragarh,mahendragarh,haryana,north,no,tier3,mahendragarh
123034,mahendragarh,mahendragarh,haryana,north,no,tier3,narnaul
123035,rewari,rewari,haryana,north,no,tier3,narnaul
123101,rewari,rewari,haryana,north,no,tier3,rewari
123102,rewari,rewari,haryana,north,no,tier3,narnaul
123103,rewari,rewari,haryana,north,no,tier3,narnaul
123106,rewari,rewari,haryana,north,no,tier3,rewari stn
123110,rewari,rewari,haryana,north,no,tier3,dharuhera
123301,rewari,rewari,haryana,north,no,tier3,bhiwani
123302,rewari,rewari,haryana,north,no,tier3,rewari
123303,rewari,rewari,haryana,north,no,tier3,rewari
123401,rewari,rewari,haryana,north,no,tier3,rewari
123411,rewari,rewari,haryana,north,no,tier3,rewari
123412,rewari,rewari,haryana,north,no,tier3,rewari
123413,rewari,rewari,haryana,north,no,tier3,gurgaon
123501,rewari,rewari,haryana,north,no,tier3,bawal
124001,rohtak,rohtak,haryana,north,no,tier3,rohtak
124010,rohtak,rohtak,haryana,north,no,tier3,rohtak
124021,rohtak,rohtak,haryana,north,no,tier3,rohtak
124022,rohtak,rohtak,haryana,north,no,tier3,rohtak
124102,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124103,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124104,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124105,jhajjar,jhajjar,haryana,north,no,tier3,rohtak
124106,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124107,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124108,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124109,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124111,rohtak,rohtak,haryana,north,no,tier3,rohtak
124112,rohtak,rohtak,haryana,north,no,tier3,rohtak
124113,rohtak,rohtak,haryana,north,no,tier3,rohtak
124141,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124142,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124146,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124201,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124202,jhajjar,jhajjar,haryana,north,no,tier3,jhajjar
124303,rohtak,rohtak,haryana,north,no,tier3,rohtak
124401,rohtak,rohtak,haryana,north,no,tier3,rohtak
124404,rohtak,rohtak,haryana,north,no,tier3,rohtak
124406,rohtak,rohtak,haryana,north,no,tier3,rohtak
124411,rohtak,rohtak,haryana,north,no,tier3,rohtak
124412,rohtak,rohtak,haryana,north,no,tier3,rohtak
124501,rohtak,rohtak,haryana,north,no,tier3,rohtak
124504,jhajjar,jhajjar,haryana,north,no,tier3,rohtak
124505,jhajjar,jhajjar,haryana,north,no,tier3,rohtak
124506,jhajjar,jhajjar,haryana,north,no,tier3,rohtak
124507,jhajjar,jhajjar,haryana,north,no,tier3,bahadurgarh
124508,jhajjar,jhajjar,haryana,north,no,tier3,rohtak
124513,rohtak,rohtak,haryana,north,no,tier3,rohtak
124514,rohtak,rohtak,haryana,north,no,tier3,rohtak
125001,hisar,hisar,haryana,north,no,tier3,hisar
125004,hisar,hisar,haryana,north,no,tier3,hisar
125005,hisar,hisar,haryana,north,no,tier3,hisar
125006,hisar,hisar,haryana,north,no,tier3,hisar
125007,hisar,hisar,haryana,north,no,tier3,hisar
125011,hisar,hisar,haryana,north,no,tier3,hisar
125033,hisar,hisar,haryana,north,no,tier3,hansi
125037,hisar,hisar,haryana,north,no,tier3,hisar
125038,hisar,hisar,haryana,north,no,tier3,hissar
125039,hisar,hisar,haryana,north,no,tier3,narnaund
125042,hisar,hisar,haryana,north,no,tier3,hissar
125044,hisar,hisar,haryana,north,no,tier3,hisar
125047,hisar,hisar,haryana,north,no,tier3,hisar
125048,fatehabad,fatehabad,haryana,north,no,tier3,fatehabad
125049,hisar,hisar,haryana,north,no,tier3,hissar
125050,fatehabad,fatehabad,haryana,north,no,tier3,fatehabad
125051,fatehabad,fatehabad,haryana,north,no,tier3,ratia
125052,hisar,hisar,haryana,north,no,tier3,hisar
125053,fatehabad,fatehabad,haryana,north,no,tier3,sirsa
125054,sirsa,sirsa,haryana,north,no,tier3,sirsa
125055,sirsa,sirsa,haryana,north,no,tier3,sirsa
125056,sirsa,sirsa,haryana,north,no,tier3,sirsa
125058,sirsa,sirsa,haryana,north,no,tier3,sirsa
125060,sirsa,sirsa,haryana,north,no,tier3,sirsa
125075,sirsa,sirsa,haryana,north,no,tier3,sirsa
125076,sirsa,sirsa,haryana,north,no,tier3,rania
125077,sirsa,sirsa,haryana,north,no,tier3,sirsa
125078,sirsa,sirsa,haryana,north,no,tier3,sirsa
125101,sirsa,sirsa,haryana,north,no,tier3,sirsa
125102,sirsa,sirsa,haryana,north,no,tier3,ellenabad
125103,sirsa,sirsa,haryana,north,no,tier3,sirsa
125104,sirsa,sirsa,haryana,north,no,tier3,mandi dabwali
125106,fatehabad,fatehabad,haryana,north,no,tier3,tohana
125110,sirsa,sirsa,haryana,north,no,tier3,sirsa
125111,fatehabad,fatehabad,haryana,north,no,tier3,fatehabad
125112,hisar,hisar,haryana,north,no,tier3,hisar
125113,hisar,hisar,haryana,north,no,tier3,hisar
125120,fatehabad,fatehabad,haryana,north,no,tier3,tohana
125121,hisar,hisar,haryana,north,no,tier3,hisar
125122,hisar,hisar,haryana,north,no,tier3,hissar
125133,fatehabad,fatehabad,haryana,north,no,tier3,tohana
125201,sirsa,sirsa,haryana,north,no,tier3,kalanwali
126101,jind,jind,haryana,north,no,tier3,julana
126102,jind,jind,haryana,north,no,tier3,jind
126110,jind,jind,haryana,north,no,tier3,jind
126111,jind,jind,haryana,north,no,tier3,jind
126112,jind,jind,haryana,north,no,tier3,safidon
126113,jind,jind,haryana,north,no,tier3,jind
126114,jind,jind,haryana,north,no,tier3,jind
126115,jind,jind,haryana,north,no,tier3,uchana
126116,jind,jind,haryana,north,no,tier3,narwana
126125,jind,jind,haryana,north,no,tier3,jind
126152,jind,jind,haryana,north,no,tier3,jind
127020,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127021,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127022,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127025,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127026,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127027,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127028,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127029,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127030,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127031,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127032,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127035,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127040,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127041,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127042,bhiwani,bhiwani,haryana,north,no,tier3,charkhi dadri
127043,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127045,bhiwani,bhiwani,haryana,north,no,tier3,siwani
127046,bhiwani,bhiwani,haryana,north,no,tier3,siwani
127092,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127111,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127114,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127201,bhiwani,bhiwani,haryana,north,no,tier3,loharu
127306,bhiwani,bhiwani,haryana,north,no,tier3,charkhi dadri
127307,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127308,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127309,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127310,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127311,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
127312,bhiwani,bhiwani,haryana,north,no,tier3,bhiwani
131001,sonipat,sonipat,haryana,north,no,tier3,sonipat
131021,sonipat,sonipat,haryana,north,no,tier3,sonipat
131022,sonipat,sonipat,haryana,north,no,tier3,sonipat
131023,sonipat,sonipat,haryana,north,no,tier3,sonipat
131024,sonipat,sonipat,haryana,north,no,tier3,sonipat
131027,sonipat,sonipat,haryana,north,no,tier3,sonipat
131028,sonipat,sonipat,haryana,north,no,tier3,sonipat
131029,sonipat,sonipat,haryana,north,no,tier3,sonipat
131030,sonipat,sonipat,haryana,north,no,tier3,sonepat
131039,sonipat,sonipat,haryana,north,no,tier3,sonipat
131101,sonipat,sonipat,haryana,north,no,tier3,sonipat
131102,sonipat,sonipat,haryana,north,no,tier3,sonipat
131103,sonipat,sonipat,haryana,north,no,tier3,sonipat
131301,sonipat,sonipat,haryana,north,no,tier3,gohana
131302,sonipat,sonipat,haryana,north,no,tier3,gohana
131304,sonipat,sonipat,haryana,north,no,tier3,sonipat
131305,sonipat,sonipat,haryana,north,no,tier3,gohana
131306,sonipat,sonipat,haryana,north,no,tier3,sonipat
131402,sonipat,sonipat,haryana,north,no,tier3,sonipat
131403,sonipat,sonipat,haryana,north,no,tier3,sonipat
131408,sonipat,sonipat,haryana,north,no,tier3,sonipat
131409,sonipat,sonipat,haryana,north,no,tier3,sonipat
132001,karnal,karnal,haryana,north,no,tier3,karnal
132022,karnal,karnal,haryana,north,no,tier3,karnal
132023,karnal,karnal,haryana,north,no,tier3,karnal
132024,karnal,karnal,haryana,north,no,tier3,karnal
132036,karnal,karnal,haryana,north,no,tier3,karnal
132037,karnal,karnal,haryana,north,no,tier3,karnal
132039,karnal,karnal,haryana,north,no,tier3,assandh
132040,karnal,karnal,haryana,north,no,tier3,assandh
132041,karnal,karnal,haryana,north,no,tier3,indri
132046,karnal,karnal,haryana,north,no,tier3,assandh
132054,karnal,karnal,haryana,north,no,tier3,karnal
132101,panipat,panipat,haryana,north,no,tier3,samalkha
132102,panipat,panipat,haryana,north,no,tier3,panipat
132103,panipat,panipat,haryana,north,no,tier3,panipat
132104,panipat,panipat,haryana,north,no,tier3,panipat
132105,panipat,panipat,haryana,north,no,tier3,panipat
132106,panipat,panipat,haryana,north,no,tier3,panipat
132107,panipat,panipat,haryana,north,no,tier3,panipat
132108,panipat,panipat,haryana,north,no,tier3,panipat
132113,panipat,panipat,haryana,north,no,tier3,panipat
132114,karnal,karnal,haryana,north,no,tier3,karnal
132115,panipat,panipat,haryana,north,no,tier3,panipat
132116,karnal,karnal,haryana,north,no,tier3,karnal
132117,karnal,karnal,haryana,north,no,tier3,nilokheri
132119,kurukshetra,kurukshetra,haryana,north,no,tier3,kurukshetra
132122,panipat,panipat,haryana,north,no,tier3,panipat
132140,panipat,panipat,haryana,north,no,tier3,panipat
132145,panipat,panipat,haryana,north,no,tier3,panipat
132157,karnal,karnal,haryana,north,no,tier3,karnal
133001,ambala,ambala,haryana,north,no,tier3,ambala
133004,ambala,ambala,haryana,north,no,tier3,ambala
133005,ambala,ambala,haryana,north,no,tier3,ambala
133006,ambala,ambala,haryana,north,no,tier3,ambala
133008,ambala,ambala,haryana,north,no,tier3,ambala
133010,ambala,ambala,haryana,north,no,tier3,ambala
133101,ambala,ambala,haryana,north,no,tier3,ambala
133102,ambala,ambala,haryana,north,no,tier3,ambala
133103,yamuna nagar,yamuna nagar,haryana,north,no,tier3,ambala
133104,ambala,ambala,haryana,north,no,tier3,ambala
133201,ambala,ambala,haryana,north,no,tier3,ambala
133202,ambala,ambala,haryana,north,no,tier3,ambala
133203,ambala,ambala,haryana,north,no,tier3,ambala
133204,yamuna nagar,yamuna nagar,haryana,north,no,tier3,yamunanagar
133205,ambala,ambala,haryana,north,no,tier3,ambala
133206,yamuna nagar,yamuna nagar,haryana,north,no,tier3,ambala
133207,ambala,ambala,haryana,north,no,tier3,ambala
133301,panchkula,panchkula,haryana,north,no,tier3,ambala
133302,panchkula,panchkula,haryana,north,no,tier3,kalka
134003,ambala,ambala,haryana,north,no,tier3,ambala
134005,ambala,ambala,haryana,north,no,tier3,ambala
